Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01T00:00:00.000000,Singapore,Singapore,SG,375.98,495.99,3.47,3.47,emcsg.com;  ema.gov.sg,false,""
2022-01-01T01:00:00.000000,Singapore,Singapore,SG,372.58,491.91,4.39,4.39,emcsg.com;  ema.gov.sg,false,""
2022-01-01T02:00:00.000000,Singapore,Singapore,SG,367.17,485.37,5.97,5.97,emcsg.com;  ema.gov.sg,false,""
2022-01-01T03:00:00.000000,Singapore,Singapore,SG,361.33,478.37,7.48,7.48,emcsg.com;  ema.gov.sg,false,""
2022-01-01T04:00:00.000000,Singapore,Singapore,SG,364.02,481.59,6.79,6.79,emcsg.com;  ema.gov.sg,false,""
2022-01-01T05:00:00.000000,Singapore,Singapore,SG,365.38,483.18,6.63,6.63, ema.gov.sg; emcsg.com,false,""
2022-01-01T06:00:00.000000,Singapore,Singapore,SG,369.01,487.54,5.69,5.69, ema.gov.sg; emcsg.com,false,""
2022-01-01T07:00:00.000000,Singapore,Singapore,SG,375.91,495.83,3.84,3.84,emcsg.com;  ema.gov.sg,false,""
2022-01-01T08:00:00.000000,Singapore,Singapore,SG,375.98,495.93,3.76,3.76, ema.gov.sg; emcsg.com,false,""
2022-01-01T09:00:00.000000,Singapore,Singapore,SG,374.89,494.62,4.06,4.06,emcsg.com;  ema.gov.sg,false,""
2022-01-01T10:00:00.000000,Singapore,Singapore,SG,376.35,496.37,3.66,3.66, ema.gov.sg; emcsg.com,false,""
2022-01-01T11:00:00.000000,Singapore,Singapore,SG,376.62,496.71,3.52,3.52,emcsg.com;  ema.gov.sg,false,""
2022-01-01T12:00:00.000000,Singapore,Singapore,SG,376.99,497.16,3.41,3.41,emcsg.com;  ema.gov.sg,false,""
2022-01-01T13:00:00.000000,Singapore,Singapore,SG,377.11,497.28,3.47,3.47, ema.gov.sg; emcsg.com,false,""
2022-01-01T14:00:00.000000,Singapore,Singapore,SG,377.33,497.51,3.58,3.58, ema.gov.sg; emcsg.com,false,""
2022-01-01T15:00:00.000000,Singapore,Singapore,SG,377.57,497.75,3.69,3.69, ema.gov.sg; emcsg.com,false,""
2022-01-01T16:00:00.000000,Singapore,Singapore,SG,377.86,498.06,3.84,3.84, ema.gov.sg; emcsg.com,false,""
2022-01-01T17:00:00.000000,Singapore,Singapore,SG,378.12,498.32,3.96,3.96,emcsg.com;  ema.gov.sg,false,""
2022-01-01T18:00:00.000000,Singapore,Singapore,SG,378.31,498.51,4.05,4.05, ema.gov.sg; emcsg.com,false,""
2022-01-01T19:00:00.000000,Singapore,Singapore,SG,378.42,498.62,4.11,4.11, ema.gov.sg; emcsg.com,false,""
2022-01-01T20:00:00.000000,Singapore,Singapore,SG,378.44,498.65,4.12,4.12, ema.gov.sg; emcsg.com,false,""
2022-01-01T21:00:00.000000,Singapore,Singapore,SG,378.35,498.55,4.07,4.07, ema.gov.sg; emcsg.com,false,""
2022-01-01T22:00:00.000000,Singapore,Singapore,SG,376.71,496.62,4.34,4.34, ema.gov.sg; emcsg.com,false,""
2022-01-01T23:00:00.000000,Singapore,Singapore,SG,377.67,497.8,3.99,3.99, ema.gov.sg; emcsg.com,false,""
2022-01-02T00:00:00.000000,Singapore,Singapore,SG,377.49,497.64,3.81,3.81,emcsg.com;  ema.gov.sg,false,""
2022-01-02T01:00:00.000000,Singapore,Singapore,SG,377.11,497.23,3.71,3.71, ema.gov.sg; emcsg.com,false,""
2022-01-02T02:00:00.000000,Singapore,Singapore,SG,376.84,496.92,3.7,3.7,emcsg.com;  ema.gov.sg,false,""
2022-01-02T03:00:00.000000,Singapore,Singapore,SG,376.58,496.63,3.69,3.69,emcsg.com;  ema.gov.sg,false,""
2022-01-02T04:00:00.000000,Singapore,Singapore,SG,375.29,495.08,3.99,3.99,emcsg.com;  ema.gov.sg,false,""
2022-01-02T05:00:00.000000,Singapore,Singapore,SG,374.01,493.55,4.33,4.33,emcsg.com;  ema.gov.sg,false,""
2022-01-02T06:00:00.000000,Singapore,Singapore,SG,374.85,494.53,4.23,4.23,emcsg.com;  ema.gov.sg,false,""
2022-01-02T07:00:00.000000,Singapore,Singapore,SG,376.2,496.17,3.8,3.8,emcsg.com;  ema.gov.sg,false,""
2022-01-02T08:00:00.000000,Singapore,Singapore,SG,376.37,496.36,3.83,3.83, ema.gov.sg; emcsg.com,false,""
2022-01-02T09:00:00.000000,Singapore,Singapore,SG,376.57,496.6,3.76,3.76, ema.gov.sg; emcsg.com,false,""
2022-01-02T10:00:00.000000,Singapore,Singapore,SG,376.85,496.95,3.64,3.64, ema.gov.sg; emcsg.com,false,""
2022-01-02T11:00:00.000000,Singapore,Singapore,SG,377.12,497.29,3.47,3.47,emcsg.com;  ema.gov.sg,false,""
2022-01-02T12:00:00.000000,Singapore,Singapore,SG,377.08,497.25,3.45,3.45,emcsg.com;  ema.gov.sg,false,""
2022-01-02T13:00:00.000000,Singapore,Singapore,SG,377.2,497.37,3.51,3.51, ema.gov.sg; emcsg.com,false,""
