Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,Singapore,Singapore,SG,374.37,494.11,2.55,2.55,emcsg.com;  ema.gov.sg,false,""
2024-01-01T01:00:00.000000,Singapore,Singapore,SG,364.62,482.76,4.74,4.74, ema.gov.sg; emcsg.com,false,""
2024-01-01T02:00:00.000000,Singapore,Singapore,SG,362.24,479.67,5.5,5.5,emcsg.com;  ema.gov.sg,false,""
2024-01-01T03:00:00.000000,Singapore,Singapore,SG,362.68,480.26,5.31,5.31, ema.gov.sg; emcsg.com,false,""
2024-01-01T04:00:00.000000,Singapore,Singapore,SG,360.18,477.38,5.88,5.88,emcsg.com;  ema.gov.sg,false,""
2024-01-01T05:00:00.000000,Singapore,Singapore,SG,365.58,483.82,4.47,4.47, ema.gov.sg; emcsg.com,false,""
2024-01-01T06:00:00.000000,Singapore,Singapore,SG,371.1,490.18,3.18,3.18,emcsg.com;  ema.gov.sg,false,""
2024-01-01T07:00:00.000000,Singapore,Singapore,SG,369.52,488.56,3.39,3.39,emcsg.com;  ema.gov.sg,false,""
2024-01-01T08:00:00.000000,Singapore,Singapore,SG,372.42,491.98,2.68,2.68,emcsg.com;  ema.gov.sg,false,""
2024-01-01T09:00:00.000000,Singapore,Singapore,SG,371.95,491.42,2.75,2.75,emcsg.com;  ema.gov.sg,false,""
2024-01-01T10:00:00.000000,Singapore,Singapore,SG,372.86,492.71,2.34,2.34,emcsg.com;  ema.gov.sg,false,""
2024-01-01T11:00:00.000000,Singapore,Singapore,SG,373.82,493.87,2.05,2.05,emcsg.com;  ema.gov.sg,false,""
2024-01-01T12:00:00.000000,Singapore,Singapore,SG,374.2,494.27,1.99,1.99, ema.gov.sg; emcsg.com,false,""
2024-01-01T13:00:00.000000,Singapore,Singapore,SG,374.13,494.24,2.02,2.02, ema.gov.sg; emcsg.com,false,""
2024-01-01T14:00:00.000000,Singapore,Singapore,SG,374.33,494.42,2.07,2.07,emcsg.com;  ema.gov.sg,false,""
2024-01-01T15:00:00.000000,Singapore,Singapore,SG,374.68,494.73,2.17,2.17, ema.gov.sg; emcsg.com,false,""
2024-01-01T16:00:00.000000,Singapore,Singapore,SG,374.53,494.64,2.21,2.21, ema.gov.sg; emcsg.com,false,""
2024-01-01T17:00:00.000000,Singapore,Singapore,SG,374.77,494.88,2.33,2.33, ema.gov.sg; emcsg.com,false,""
2024-01-01T18:00:00.000000,Singapore,Singapore,SG,374.96,495.09,2.42,2.42, ema.gov.sg; emcsg.com,false,""
2024-01-01T19:00:00.000000,Singapore,Singapore,SG,375.03,495.15,2.45,2.45,emcsg.com;  ema.gov.sg,false,""
2024-01-01T20:00:00.000000,Singapore,Singapore,SG,375.08,495.19,2.45,2.45,emcsg.com;  ema.gov.sg,false,""
2024-01-01T21:00:00.000000,Singapore,Singapore,SG,375.08,495.16,2.4,2.4,emcsg.com;  ema.gov.sg,false,""
2024-01-01T22:00:00.000000,Singapore,Singapore,SG,374.64,494.73,2.22,2.22,emcsg.com;  ema.gov.sg,false,""
2024-01-01T23:00:00.000000,Singapore,Singapore,SG,373.13,493.01,2.36,2.36,emcsg.com;  ema.gov.sg,false,""
2024-01-02T00:00:00.000000,Singapore,Singapore,SG,365.14,483.45,4.31,4.31,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02T01:00:00.000000,Singapore,Singapore,SG,358.11,475.03,6.04,6.04,emcsg.com;  ema.gov.sg,false,""
2024-01-02T02:00:00.000000,Singapore,Singapore,SG,351.21,466.75,7.83,7.83,emcsg.com;  ema.gov.sg,false,""
2024-01-02T03:00:00.000000,Singapore,Singapore,SG,350.85,466.29,7.98,7.98, ema.gov.sg; emcsg.com,false,""
2024-01-02T04:00:00.000000,Singapore,Singapore,SG,346.83,461.48,9.01,9.01, ema.gov.sg; emcsg.com,false,""
2024-01-02T05:00:00.000000,Singapore,Singapore,SG,341.22,454.74,10.49,10.49,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-02T06:00:00.000000,Singapore,Singapore,SG,373.99,494.07,1.93,1.93, ema.gov.sg; emcsg.com,false,""
